綜藝生活,#genre#
kbsworld(4),https://wms211-kortv.akamaized.net/a_live/34402987/smil:20ch211.smil/master.m3u8
eventTV,https://wms5-kortv.akamaized.net/a_live/88107085/smil:20tv151.smil/chunklist_b2500000.m3u8
eventTV,https://wms5-kortv.akamaized.net/a_live/88107085/smil:20tv151.smil/.m3u8
arirang_1ch,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
arirang_1ch,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
arirang_3ch,https://amdlive-ch03-ctnd-com.akamaized.net/arirang_3ch/smil:arirang_3ch.smil/chunklist_b3256000_sleng.m3u8
arirang_3ch,https://amdlive-ch03-ctnd-com.akamaized.net/arirang_3ch/smil:arirang_3ch.smil/playlist.m3u8

听不懂系列2,#genre#
d7x8z4yuq42qn,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
d5ms27yy6exnf,https://d5ms27yy6exnf.cloudfront.net/live/omroepflevoland/tv/index.m3u8
d34pj260kw1xmk,https://d34pj260kw1xmk.cloudfront.net/live/l1/tv/index.m3u8
canalmalaga-tv,https://canalmalaga-tv-live.flumotion.com/chunks.m3u8
canalmalaga-tv,https://canalmalaga-tv-live.flumotion.com/playlist.m3u8
AJA,https://live-hls-web-aja.getaj.net/AJA/02.m3u8
Martinoticias,https://ocb-ingest.akamaized.net/hls/live/2037032/tvmc01/playlist_1080.m3u8
Martinoticias,https://ocb-ingest.akamaized.net/hls/live/2037032/tvmc01/playlist.m3u8
'n 7IT'YJ12,https://mako-streaming.akamaized.net/stream/hls/live/2033791/k12n12wad/profile/4/profileManifest.m3u8?_uid=a004f873-f654-4ab8-a86c-4aa2bbfc909d&rK=a1
IndiaToday,https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/live_720p/chunks.m3u8
IndiaToday,https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/playlist.m3u8
QatarTV2,https://qatartv.akamaized.net/hls/live/2026574/qtv2/4.m3u8
QatarTV2,https://qatartv.akamaized.net/hls/live/2026574/qtv2/master.m3u8
hrhls,https://hrhls.akamaized.net/hls/live/2024525/hrhls/master-720p-3200.m3u8
hrhls,https://hrhls.akamaized.net/hls/live/2024525/hrhls/index.m3u8
sport5PRV3,https://rgevod.akamaized.net/vodedge/_definst_/mp4:rge/bynet/sport5/sport5/PRV3/O1I20603Hx/App/NM1_TAK_MADRID_130224_1800.mp4/chunklist_b1800000.m3u8
sport5PRV3,https://sport5api.akamaized.net/Redirector/sport5/manifest/NM1_TAK_MADRID_130224/HLS/playlist.m3u8
sport5PRV4,https://rgevod.akamaized.net/vodedge/_definst_/mp4:rge/bynet/sport5/sport5/PRV4/A88GFPNa6a/App/NM_DORT_PSG_010524_1800.mp4/chunklist_b1800000.m3u8
sport5PRV4,https://sport5api.akamaized.net/Redirector/sport5/manifest/NM_DORT_PSG_010524/HLS/playlist.m3u8
rmtv-es-web,https://rmtv.akamaized.net/hls/live/2043153/rmtv-es-web/bitrate_3.m3u8
rmtv-es-web,https://rmtv.akamaized.net/hls/live/2043153/rmtv-es-web/master.m3u8
DW,https://dwamdstream104.akamaized.net/hls/live/2015530/dwstream104/stream05/streamPlaylist.m3u8
DW,https://dwamdstream104.akamaized.net/hls/live/2015530/dwstream104/index.m3u8
d1k6kax80wecy5,https://d1k6kax80wecy5.cloudfront.net/RLnAKY/index.m3u8
ARTS,https://classicarts.akamaized.net/hls/live/1024257/CAS/master_720p30.m3u8
ARTS,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8
MBN_Alhurra_Worldsafe_HLS,https://mbn-ingest-worldsafe.akamaized.net/hls/live/2038900/MBN_Alhurra_Worldsafe_HLS/master_2596.m3u8
MBN_Alhurra_Worldsafe_HLS,https://mbn-ingest-worldsafe.akamaized.net/hls/live/2038900/MBN_Alhurra_Worldsafe_HLS/merge.m3u8

